                      _                    __ _     _   
 /\   /\___ _ __   __| | ___  _ __ ___    / /(_)___| |_ 
 \ \ / / _ \ '_ \ / _` |/ _ \| '__/ __|  / / | / __| __|
  \ V /  __/ | | | (_| | (_) | |  \__ \ / /__| \__ \ |_ 
   \_/ \___|_| |_|\__,_|\___/|_|  |___/ \____/_|___/\__|



004097	DATEX DIVISION OF
7C534A	Metamako
7C55E7	YSI, Inc.
7C574E	COBI GmbH
7C5A1C	Sophos Ltd
7C5A67	JNC Systems, Inc.
7C5CF8	Intel Corporate
7C6097	HUAWEI TECHNOLOGIES CO.,LTD
7C6193	HTC Corporation
7C669D	Texas Instruments
7C67A2	Intel Corporate
7C69F6	Cisco Systems, Inc
7C6AB3	IBC TECHNOLOGIES INC.
7C6AC3	GatesAir, Inc
7C6ADB	SafeTone Technology Co.,Ltd
7C6AF3	Integrated Device Technology (Malaysia) Sdn. Bhd.
7C6B33	Tenyu Tech Co. Ltd.
7C6B52	Tigaro Wireless
7C6BF7	NTI co., ltd.
7C6C39	PIXSYS SRL
7C6C8F	AMS NEVE LTD
7C6D62	Apple, Inc.
7C6DF8	Apple, Inc.
7C6F06	Caterpillar Trimble Control Technologies
7C6FF8	ShenZhen ACTO Digital Video Technology Co.,Ltd.
7C70BC	IEEE Registration Authority
7C7176	Wuxi iData Technology Company Ltd.
7C72E4	Unikey Technologies
7C738B	Cocoon Alarm Ltd
7C7673	ENMAS GmbH
7C787E	Samsung Electronics Co.,Ltd
7C79E8	PayRange Inc.
7C7A53	Phytrex Technology Corp.
7C7A91	Intel Corporate
7C7B8B	Control Concepts, Inc.
7C7BE4	Z'SEDAI KENKYUSHO CORPORATION
7C7D3D	HUAWEI TECHNOLOGIES CO.,LTD
7C7D41	Jinmuyu Electronics Co., Ltd.
7C822D	Nortec
7C8274	Shenzhen Hikeen Technology CO.,LTD
7C8306	Glen Dimplex Nordic as
7C8D91	Shanghai Hongzhuo Information Technology co.,LTD
7C8EE4	Texas Instruments
7C9122	Samsung Electronics Co.,Ltd
7C94B2	Philips Healthcare PCCI
7C95B1	Aerohive Networks Inc.
7C95F3	Cisco Systems, Inc
7C9763	Openmatics s.r.o.
7C9A9B	VSE valencia smart energy
7CA15D	GN ReSound A/S
7CA237	King Slide Technology CO., LTD.
7CA23E	HUAWEI TECHNOLOGIES CO.,LTD
7CA29B	D.SignT GmbH & Co. KG
7CA61D	MHL, LLC
7CA97D	Objenious
7CAB25	MESMO TECHNOLOGY INC.
7CACB2	Bosch Software Innovations GmbH
7CAD74	Cisco Systems, Inc
7CB03E	OSRAM GmbH
7CB0C2	Intel Corporate
7CB15D	HUAWEI TECHNOLOGIES CO.,LTD
7CB177	Satelco AG
7CB21B	Cisco SPVTG
7CB232	Hui Zhou Gaoshengda Technology Co.,LTD
7CB25C	Acacia Communications
7CB542	ACES Technology
7CB733	ASKEY COMPUTER CORP
7CB77B	Paradigm Electronics Inc
7CB960	Shanghai X-Cheng telecom LTD
7CBB6F	Cosco Electronics Co., Ltd.
7CBB8A	Nintendo Co., Ltd.
7CBD06	AE REFUsol
7CBF88	Mobilicom LTD
7CBFB1	ARRIS Group, Inc.
7CC3A1	Apple, Inc.
7CC4EF	Devialet
7CC537	Apple, Inc.
7CC6C4	Kolff Computer Supplies b.v.
7CC709	SHENZHEN RF-LINK TECHNOLOGY CO.,LTD.
7CC8AB	Acro Associates, Inc.
7CC8D0	TIANJIN YAAN TECHNOLOGY CO., LTD.
7CC8D7	Damalisk
7CC95A	Emc
7CCB0D	Antaira Technologies, LLC
7CCBE2	IEEE Registration Authority
7CCC1F	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
7CCCB8	Intel Corporate
7CCD11	MS-Magnet
7CCD3C	Guangzhou Juzing Technology Co., Ltd
7CCFCF	Shanghai SEARI Intelligent System Co., Ltd
7CD1C3	Apple, Inc.
7CD30A	INVENTEC Corporation
7CD762	Freestyle Technology Pty Ltd
7CD844	Enmotus Inc
7CD9FE	New Cosmos Electric Co., Ltd.
7CDA84	Dongnian Networks Inc.
7CDD11	Chongqing MAS SCI&TECH.Co.,Ltd
7CDD20	IOXOS Technologies S.A.
7CDD90	Shenzhen Ogemray Technology Co., Ltd.
7CE044	NEON Inc
7CE1FF	Computer Performance, Inc. DBA Digital Loggers, Inc.
7CE4AA	Private
7CE524	Quirky, Inc.
7CE56B	ESEN Optoelectronics Technology Co.,Ltd.
7CE97C	ITEL MOBILE LIMITED
7CE9D3	Hon Hai Precision Ind. Co.,Ltd.
7CEBAE	Ridgeline Instruments
7CEBEA	Asct
7CEC79	Texas Instruments
7CED8D	Microsoft
7CEF18	Creative Product Design Pty. Ltd.
7CEF8A	Inhon International Ltd.
7CF05F	Apple, Inc.
7CF098	Bee Beans Technologies, Inc.
7CF0BA	Linkwell Telesystems Pvt Ltd
7CF429	NUUO Inc.
7CF854	Samsung Electronics Co.,Ltd
7CF90E	Samsung Electronics Co.,Ltd
7CF95C	U.I. Lapp GmbH
7CFADF	Apple, Inc.
7CFC3C	Visteon Corporation
7CFE28	Salutron Inc.
7CFE4E	Shenzhen Safe vision Technology Co.,LTD
7CFE90	Mellanox Technologies, Inc.
7CFF62	Huizhou Super Electron Technology Co.,Ltd.
80000B	Intel Corporate
800010	AT&T [misrepresented as 080010? One source claims this is correct]
80006E	Apple, Inc.
800184	HTC Corporation
8002DF	ORA Inc.
8005DF	Montage Technology Group Limited
8007A2	Esson Technology Inc.
800902	Keysight Technologies, Inc.
800A06	COMTEC co.,ltd
800A80	IEEE Registration Authority
800B51	Chengdu XGimi Technology Co.,Ltd
800DD7	Latticework, Inc
800E24	ForgetBox
801382	HUAWEI TECHNOLOGIES CO.,LTD
801440	Sunlit System Technology Corp
8014A8	Guangzhou V-SOLUTION Electronic Technology Co., Ltd.
8016B7	Brunel University
80177D	Nortel Networks
801844	Dell Inc.
8018A7	Samsung Electronics Co.,Ltd
801934	Intel Corporate
801967	Shanghai Reallytek Information Technology  Co.,Ltd
8019FE	JianLing Technology CO., LTD
801DAA	Avaya Inc
801F02	Edimax Technology Co. Ltd.
8020AF	Trade FIDES, a.s.
802275	Beijing Beny Wave Technology Co Ltd
802689	D-Link International
802994	Technicolor CH USA Inc.
802AA8	Ubiquiti Networks Inc.
802AFA	Germaneers GmbH
802DE1	Solarbridge Technologies
802E14	azeti Networks AG
802FDE	Zurich Instruments AG
8030DC	Texas Instruments
803457	OT Systems Limited
803773	Netgear
803896	SHARP Corporation
8038BC	HUAWEI TECHNOLOGIES CO.,LTD
8038FD	LeapFrog Enterprises, Inc.
8039E5	PATLITE CORPORATION
803A0A	Integrated Device Technology (Malaysia) Sdn. Bhd.
803B2A	ABB Xiamen Low Voltage Equipment Co.,Ltd.
803B9A	ghe-ces electronic ag
803F5D	Winstars Technology Ltd
803FD6	bytes at work AG
80414E	BBK EDUCATIONAL ELECTRONICS CORP.,LTD.
80427C	Adolf Tedsen GmbH & Co. KG
804731	Packet Design, Inc.
8048A5	SICHUAN TIANYI COMHEART TELECOMCO.,LTD
804971	Apple, Inc.
804B20	Ventilation Control
804E81	Samsung Electronics Co.,Ltd
804F58	ThinkEco, Inc.
80501B	Nokia Corporation
805067	W & D TECHNOLOGY CORPORATION
8056F2	Hon Hai Precision Ind. Co.,Ltd.
805719	Samsung Electronics Co.,Ltd
8058C5	NovaTec Kommunikationstechnik GmbH
8058F8	Motorola Mobility LLC, a Lenovo Company
8059FD	Noviga
805A04	LG Electronics (Mobile Communications)
805EC0	YEALINK(XIAMEN) NETWORK TECHNOLOGY CO.,LTD.
806007	Rim
80618F	Shenzhen sangfei consumer communications co.,ltd
806459	Nimbus Inc.
80656D	Samsung Electronics Co.,Ltd
8065E9	BenQ Corporation
806629	Prescope Technologies CO.,LTD.
806AB0	Shenzhen TINNO Mobile Technology Corp.
806C1B	Motorola Mobility LLC, a Lenovo Company
806C8B	KAESER KOMPRESSOREN AG
806CBC	NET New Electronic Technology GmbH
80711F	Juniper Networks
80717A	HUAWEI TECHNOLOGIES CO.,LTD
80739F	KYOCERA Corporation
807459	K's Co.,Ltd.
807693	Newag SA
8079AE	ShanDong Tecsunrise  Co.,Ltd
807A7F	ABB Genway Xiamen Electrical Equipment CO., LTD
807ABF	HTC Corporation
807B1E	Corsair Components
807B85	IEEE Registration Authority
807D1B	Neosystem Co. Ltd.
807DE3	Chongqing Sichuan Instrument Microcircuit Co.LTD.
8081A5	TONGQING COMMUNICATION EQUIPMENT (SHENZHEN) Co.,Ltd
808287	ATCOM Technology Co.Ltd.
808698	Netronics Technologies Inc.
8086F2	Intel Corporate
808917	TP-LINK TECHNOLOGIES CO.,LTD.
808B5C	Shenzhen Runhuicheng Technology Co., Ltd
808C97	Kaonmedia CO., LTD.
80912A	Lih Rong electronic Enterprise Co., Ltd.
8091C0	AgileMesh, Inc.
80929F	Apple, Inc.
809393	Xapt GmbH
80946C	TOKYO RADAR CORPORATION
8096B1	ARRIS Group, Inc.
8096CA	Hon Hai Precision Ind. Co.,Ltd.
80971B	Altenergy Power System,Inc.
809B20	Intel Corporate
809FAB	Fiberhome Telecommunication Technologies Co.,LTD
80A1AB	Intellisis
80A1D7	Shanghai DareGlobal Technologies Co.,Ltd
80A589	AzureWave Technology Inc.
80A85D	Osterhout Design Group
80AAA4	Usag
80ACAC	Juniper Networks
80AD00	CNET Technology Inc. (Probably an error, see instead 0080AD)
80AD67	Kasda Networks Inc
80B219	ELEKTRON TECHNOLOGY UK LIMITED
80B289	Forworld Electronics Ltd.
80B32A	Alstom Grid
80B686	HUAWEI TECHNOLOGIES CO.,LTD
80B709	Viptela, Inc
80B95C	ELFTECH Co., Ltd.
80BAAC	TeleAdapt Ltd
80BAE6	Neets
80BBEB	Satmap Systems Ltd
80BE05	Apple, Inc.
80C16E	Hewlett Packard
80C5E6	Microsoft Corporation
80C63F	Remec Broadband Wireless , LLC
80C6AB	Technicolor CH USA Inc.
80C6CA	Endian s.r.l.
80C862	Openpeak, Inc
80CEB1	Theissen Training Systems GmbH
80CF41	Lenovo Mobile Communication Technology Ltd.
80D019	Embed, Inc
80D09B	HUAWEI TECHNOLOGIES CO.,LTD
80D160	Integrated Device Technology (Malaysia) Sdn. Bhd.
80D18B	Hangzhou I'converge Technology Co.,Ltd
80D21D	AzureWave Technology Inc.
80D433	LzLabs GmbH
80D4A5	HUAWEI TECHNOLOGIES CO.,LTD
80D605	Apple, Inc.
80D733	QSR Automations, Inc.
80DB31	Power Quotient International Co., Ltd.
80E01D	Cisco Systems, Inc
80E4DA	IEEE Registration Authority
80E650	Apple, Inc.
80E86F	Cisco Systems, Inc
80EA23	Wistron Neweb Corporation
80EA96	Apple, Inc.
80EACA	Dialog Semiconductor Hellas SA
80EB77	Wistron Corporation
80ED2C	Apple, Inc.
80EE73	Shuttle Inc.
80F25E	Kyynel
80F503	ARRIS Group, Inc.
80F593	IRCO Sistemas de Telecomunicación S.A.
80F62E	Hangzhou H3C Technologies Co., Limited
80F8EB	Raytight
80FA5B	CLEVO CO.
80FB06	HUAWEI TECHNOLOGIES CO.,LTD
80FFA8	Unidis
84002D	PEGATRON CORPORATION
8400D2	Sony Mobile Communications AB
8401A7	Greyware Automation Products, Inc
8404D2	Kirale Technologies SL
840B2D	SAMSUNG ELECTRO MECHANICS CO., LTD.
840F45	Shanghai GMT Digital Technologies Co., Ltd
84100D	Motorola Mobility LLC, a Lenovo Company
84119E	Samsung Electronics Co.,Ltd
8416F9	TP-LINK TECHNOLOGIES CO.,LTD.
841715	GP Electronics (HK) Ltd.
841766	Weifang GoerTek Electronics Co., Ltd
841826	Osram GmbH
84183A	Ruckus Wireless
841888	Juniper Networks
841B38	Shenzhen Excelsecu Data Technology Co.,Ltd
841B5E	Netgear
841E26	KERNEL-I Co.,LTD
842141	Shenzhen Ginwave Technologies Ltd.
8421F1	HUAWEI TECHNOLOGIES CO.,LTD
84248D	Zebra Technologies Inc
842519	Samsung Electronics
84253F	Silex Technology, Inc
8425A4	Tariox Limited
8425DB	Samsung Electronics Co.,Ltd
842615	ADB Broadband Italia
84262B	Nokia
842690	BEIJING THOUGHT SCIENCE CO.,LTD.
8427CE	Corporation of the Presiding Bishop of The Church of Jesus Christ of Latter-day Saints
84285A	Saffron Solutions Inc
842914	EMPORIA TELECOM Produktions- und VertriebsgesmbH & Co KG
842999	Apple, Inc.
842B2B	Dell Inc.
842B50	Huria Co.,Ltd.
842BBC	Modelleisenbahn GmbH
842E27	Samsung Electronics Co.,Ltd
842F75	Innokas Group
8430E5	SkyHawke Technologies, LLC
8432EA	ANHUI WANZTEN P&T CO., LTD
843497	Hewlett Packard
843611	hyungseul publishing networks
843835	Apple, Inc.
843838	SAMSUNG ELECTRO-MECHANICS(THAILAND)
843A4B	Intel Corporate
843DC6	Cisco Systems, Inc
843F4E	Tri-Tech Manufacturing, Inc.
844076	Drivenets
844464	ServerU Inc
844765	HUAWEI TECHNOLOGIES CO.,LTD
844823	WOXTER TECHNOLOGY Co. Ltd
844915	vArmour Networks, Inc.
844BB7	Beijing Sankuai Online Technology Co.,Ltd
844BF5	Hon Hai Precision Ind. Co.,Ltd.
844F03	Ablelink Electronics Ltd
845181	Samsung Electronics Co.,Ltd
8455A5	Samsung Electronics Co.,Ltd
84569C	Coho Data, Inc.,
845787	DVR C&C Co., Ltd.
845A81	Ffly4u
845B12	HUAWEI TECHNOLOGIES CO.,LTD
845C93	Chabrier Services
845DD7	Shenzhen Netcom Electronics Co.,Ltd
8461A0	ARRIS Group, Inc.
846223	Shenzhen Coship Electronics Co., Ltd.
8462A6	EuroCB (Phils), Inc.
8463D6	Microsoft Corporation
84683E	Intel Corporate
846AED	Wireless Tsukamoto.,co.LTD
846EB1	Park Assist LLC
847207	I&C Technology
847303	Letv Mobile and Intelligent Information Technology (Beijing) Corporation Ltd.
84742A	zte corporation
847616	Addat s.r.o.
847778	Cochlear Limited
84788B	Apple, Inc.
8478AC	Cisco Systems, Inc
847933	profichip GmbH
847973	Shanghai Baud Data Communication Co.,Ltd.
847A88	HTC Corporation
847BEB	Dell Inc.
847D50	Holley Metering Limited
847E40	Texas Instruments
84802D	Cisco Systems, Inc
8482F4	Beijing Huasun Unicreate Technology Co., Ltd
848319	Hangzhou Zero Zero Technology Co., Ltd.
848336	Newrun
848371	Avaya Inc
848433	Paradox Engineering SA
848506	Apple, Inc.
84850A	Hella Sonnen- und Wetterschutztechnik GmbH
8486F3	Greenvity Communications
8489AD	Apple, Inc.
848D84	Rajant Corporation
848DC7	Cisco SPVTG
848E0C	Apple, Inc.
848E96	Embertec Pty Ltd
848EDF	Sony Mobile Communications AB
848F69	Dell Inc.
849000	Arnold & Richter Cine Technik
84930C	InCoax Networks Europe AB
84948C	Hitron Technologies. Inc
849681	Cathay Communication Co.,Ltd
8496D8	ARRIS Group, Inc.
8497B8	Memjet Inc.
849866	Samsung Electronics Co.,Ltd
849CA6	Arcadyan Technology Corporation
849D64	SMC Corporation
849DC5	Centera Photonics Inc.
849FB5	HUAWEI TECHNOLOGIES CO.,LTD
84A134	Apple, Inc.
84A423	Sagemcom Broadband SAS
84A466	Samsung Electronics Co.,Ltd
84A6C8	Intel Corporate
84A783	Alcatel Lucent
84A788	Perples
84A8E4	HUAWEI TECHNOLOGIES CO.,LTD
84A991	Cyber Trans Japan Co.,Ltd.
84A9C4	HUAWEI TECHNOLOGIES CO.,LTD
84ACA4	Beijing Novel Super Digital TV Technology Co., Ltd
84ACFB	Crouzet Automatismes
84AD58	HUAWEI TECHNOLOGIES CO.,LTD
84AF1F	Beat System Service Co,. Ltd.
84AFEC	BUFFALO.INC
84B153	Apple, Inc.
84B261	Cisco Systems, Inc
84B517	Cisco Systems, Inc
84B541	Samsung Electronics Co.,Ltd
84B59C	Juniper Networks
84B802	Cisco Systems, Inc
84BA3B	CANON INC.
84BE52	HUAWEI TECHNOLOGIES CO.,LTD
84C1C1	Juniper Networks
84C2E4	Jiangsu Qinheng Co., Ltd.
84C3E8	Vaillant GmbH
84C727	Gnodal Ltd
84C7A9	C3PO S.A.
84C7EA	Sony Mobile Communications AB
84C8B1	Incognito Software Systems Inc.
84C9B2	D-Link International
84CD62	ShenZhen IDWELL Technology CO.,Ltd
84CFBF	Fairphone
84D32A	IEEE 1905.1
84D47E	Aruba Networks
84D4C8	Widex A/S
84D6D0	Amazon Technologies Inc.
84D931	Hangzhou H3C Technologies Co., Limited
84D9C8	Unipattern Co.,
84DB2F	Sierra Wireless Inc
84DBAC	HUAWEI TECHNOLOGIES CO.,LTD
84DBFC	Nokia
84DD20	Texas Instruments
84DDB7	Cilag GmbH International
84DE3D	Crystal Vision Ltd
84DF0C	NET2GRID BV
84DF19	Chuango Security Technology Corporation
84E058	ARRIS Group, Inc.
84E0F4	IEEE Registration Authority
84E323	Green Wave Telecommunication SDN BHD
84E4D9	Shenzhen NEED technology Ltd.
84E629	Bluwan SA
84E714	Liang Herng Enterprise,Co.Ltd.
84EA99	Vieworks
84EB18	Texas Instruments
84ED33	BBMC Co.,Ltd
84EF18	Intel Corporate
84F129	Metrascale Inc.
84F493	OMS spol. s.r.o.
84F64C	Cross Point BV
84F6FA	Miovision Technologies Incorporated
84FCAC	Apple, Inc.
84FCFE	Apple, Inc.
84FE9E	RTC Industries, Inc.
84FEDC	Borqs Beijing Ltd.
8801F2	Vitec System Engineering Inc.
880355	Arcadyan Technology Corporation
88074B	LG Electronics (Mobile Communications)
880905	MTMCommunications
8809AF	Masimo Corporation
880F10	Huami Information Technology Co.,Ltd.
880FB6	Jabil Circuits India Pvt Ltd,-EHTP unit
881036	Panodic(ShenZhen) Electronics Limted
88124E	Qualcomm Inc.
88142B	Protonic Holland
881544	Cisco Meraki
8818AE	Tamron Co., Ltd
881B99	SHENZHEN XIN FEI JIA ELECTRONIC CO. LTD.
881DFC	Cisco Systems, Inc
881FA1	Apple, Inc.
882012	LMI Technologies
8821E3	Nebusens, S.L.
882364	Watchnet DVR Inc
8823FE	TTTech Computertechnik AG
88252C	Arcadyan Technology Corporation
882593	TP-LINK TECHNOLOGIES CO.,LTD.
8828B3	HUAWEI TECHNOLOGIES CO.,LTD
882950	Dalian Netmoon Tech Develop Co.,Ltd
882BD7	ADDÉNERGIE  TECHNOLOGIES
882E5A	Storone
88308A	Murata Manufacturing Co., Ltd.
88329B	SAMSUNG ELECTRO-MECHANICS(THAILAND)
883314	Texas Instruments
8833BE	Ivenix, Inc.
88354C	Transics
883612	SRC Computers, LLC
88366C	EFM Networks
883B8B	Cheering Connection Co. Ltd.
883C1C	MERCURY CORPORATION
883FD3	HUAWEI TECHNOLOGIES CO.,LTD
884157	Shenzhen Atsmart Technology Co.,Ltd.
8841C1	ORBISAT DA AMAZONIA IND E AEROL SA
8841FC	AirTies Wireless Networks
8843E1	Cisco Systems, Inc
884477	HUAWEI TECHNOLOGIES CO.,LTD
8844F6	Nokia Corporation
88462A	Telechips Inc.
884AEA	Texas Instruments
884B39	Siemens AG, Healthcare Sector
884CCF	Pulzze Systems, Inc
8850DD	Infiniband Trade Association
8851FB	Hewlett Packard
88532E	Intel Corporate
885395	Apple, Inc.
8853D4	HUAWEI TECHNOLOGIES CO.,LTD
88576D	XTA Electronics Ltd
8857EE	BUFFALO.INC
885A92	Cisco Systems, Inc
885BDD	Aerohive Networks Inc.
885C47	Alcatel Lucent
885D90	IEEE Registration Authority
88615A	Siano Mobile Silicon Ltd.
8863DF	Apple, Inc.
886639	HUAWEI TECHNOLOGIES CO.,LTD
8866A5	Apple, Inc.
88685C	Shenzhen ChuangDao & Perpetual Eternal Technology Co.,Ltd
886AB1	vivo Mobile Communication Co., Ltd.
886B0F	Bluegiga Technologies OY
886B44	Sunnovo International Limited
886B6E	Apple, Inc.
886B76	CHINA HOPEFUL GROUP HOPEFUL ELECTRIC CO.,LTD
887033	Hangzhou Silan Microelectronic Inc
88708C	Lenovo Mobile Communication Technology Ltd.
8870EF	SC Professional Trading Co., Ltd.
8871E5	Amazon Technologies Inc.
887384	Toshiba
887398	K2E Tekpoint
887556	Cisco Systems, Inc
887873	Intel Corporate
88789C	Game Technologies SA
88795B	Konka Group Co., Ltd.
88797E	Motorola Mobility LLC, a Lenovo Company
887F03	Comper Technology Investment Limited
888322	Samsung Electronics Co.,Ltd
888603	HUAWEI TECHNOLOGIES CO.,LTD
8886A0	Simton Technologies, Ltd.
888717	CANON INC.
8887DD	DarbeeVision Inc.
888914	All Components Incorporated
888964	GSI Electronics Inc.
888B5D	Storage Appliance Corporation
888C19	Brady Corp Asia Pacific Ltd
88908D	Cisco Systems, Inc
889166	Viewcooper Corp.
8891DD	Racktivity
889471	Brocade Communications Systems, Inc.
88947E	Fiberhome Telecommunication Technologies Co.,LTD
8894F9	Gemicom Technology, Inc.
8895B9	Unified Packet Systems Crop
889676	TTC MARCONI s.r.o.
8896B6	Global Fire Equipment S.A.
8896F2	Valeo Schalter und Sensoren GmbH
8897DF	Entrypass Corporation Sdn. Bhd.
889821	Teraon
889B39	Samsung Electronics Co.,Ltd
889CA6	BTB Korea INC
889FFA	Hon Hai Precision Ind. Co.,Ltd.
88A084	Formation Data Systems
88A25E	Juniper Networks
88A2D7	HUAWEI TECHNOLOGIES CO.,LTD
88A3CC	Amatis Controls
88A5BD	QPCOM INC.
88A6C6	Sagemcom Broadband SAS
88A73C	Ragentek Technology Group
88ACC1	Generiton Co., Ltd.
88AD43	PEGATRON CORPORATION
88ADD2	Samsung Electronics Co.,Ltd
88AE1D	COMPAL INFORMATION (KUNSHAN) CO., LTD.
88B168	Delta Control GmbH
88B1E1	Mojo Networks, Inc.
88B627	Gembird Europe BV
88B8D0	Dongguan Koppo Electronic Co.,Ltd
88BA7F	Qfiednet Co., Ltd.
88BFD5	Simple Audio Ltd
88C242	Poynt Co.
88C255	Texas Instruments
88C36E	Beijing Ereneben lnformation Technology Limited
88C3B3	Sovico
88C626	Logitech, Inc
88C663	Apple, Inc.
88C9D0	LG Electronics (Mobile Communications)
88CB87	Apple, Inc.
88CBA5	Suzhou Torchstar Intelligent Technology Co.,Ltd
88CC45	Skyworth Digital Technology(Shenzhen) Co.,Ltd
88CEFA	HUAWEI TECHNOLOGIES CO.,LTD
88CF98	HUAWEI TECHNOLOGIES CO.,LTD
88D274	zte corporation
88D37B	FirmTek, LLC
88D50C	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
88D7BC	DEP Company
88D962	Canopus Systems US LLC
88DC96	SENAO Networks, Inc.
88DD79	Voltaire
88DEA9	Roku, Inc.
88E0A0	Shenzhen VisionSTOR Technologies Co., Ltd
88E0F3	Juniper Networks
88E161	Art Beijing Science and Technology Development Co., Ltd.
88E3AB	HUAWEI TECHNOLOGIES CO.,LTD
88E603	Avotek corporation
88E628	Shenzhen Kezhonglong Optoelectronic Technology Co.,Ltd
88E712	Whirlpool Corporation
88E7A6	iKnowledge Integration Corp.
88E87F	Apple, Inc.
88E8F8	YONG TAI ELECTRONIC (DONGGUAN) LTD.
88E917	Tamaggo
88ED1C	Cudo Communication Co., Ltd.
88F031	Cisco Systems, Inc
88F077	Cisco Systems, Inc
88F488	cellon communications technology(shenzhen)Co.,Ltd.
88F490	Jetmobile Pte Ltd
88F7C7	Technicolor CH USA Inc.
88FD15	LINEEYE CO., LTD
88FED6	ShangHai WangYong Software Co., Ltd.
8C006D	Apple, Inc.
8C04FF	Technicolor CH USA Inc.
8C0551	Koubachi AG
8C078C	FLOW DATA INC
8C088B	Remote Solution
8C09F4	ARRIS Group, Inc.
8C0C90	Ruckus Wireless
8C0CA3	Amper
8C0D76	HUAWEI TECHNOLOGIES CO.,LTD
8C0EE3	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
8C10D4	Sagemcom Broadband SAS
8C11CB	ABUS Security-Center GmbH & Co. KG
8C18D9	Shenzhen RF Technology Co., Ltd
8C192D	IEEE Registration Authority
8C1ABF	Samsung Electronics Co.,Ltd
8C1F94	RF Surgical System Inc.
8C210A	TP-LINK TECHNOLOGIES CO.,LTD.
8C271D	QuantHouse
8C278A	Vocollect Inc
8C2937	Apple, Inc.
8C2DAA	Apple, Inc.
8C2F39	IBA Dosimetry GmbH
8C2FA6	Solid Optics B.V.
8C3330	EmFirst Co., Ltd.
8C3357	HiteVision Digital Media Technology Co.,Ltd.
8C34FD	HUAWEI TECHNOLOGIES CO.,LTD
8C3AE3	LG Electronics (Mobile Communications)
8C3C07	Skiva Technologies, Inc.
8C3C4A	NAKAYO Inc
8C41F2	RDA Technologies Ltd.
8C4435	Shanghai BroadMobi Communication Technology Co., Ltd.
8C4AEE	GIGA TMS INC
8C4B59	3D Imaging & Simulations Corp
8C4CDC	PLANEX COMMUNICATIONS INC.
8C4DB9	Unmonday Ltd
8C4DEA	Cerio Corporation
8C5105	Shenzhen ireadygo Information Technology CO.,LTD.
8C53F7	A&D ENGINEERING CO., LTD.
8C541D	Lge
8C569D	Imaging Solutions Group
8C56C5	Nintendo Co., Ltd.
8C579B	Wistron Neweb Corporation
8C57FD	LVX Western
8C5877	Apple, Inc.
8C598B	C Technologies AB
8C59C3	ADB Italia
8C5AF0	Exeltech Solar Products
8C5CA1	d-broad,INC
8C5D60	UCI Corporation Co.,Ltd.
8C5FDF	Beijing Railway Signal Factory
8C604F	Cisco Systems, Inc
8C60E7	MPGIO CO.,LTD
8C6102	Beijing Baofengmojing Technologies Co., Ltd
8C640B	Beyond Devices d.o.o.
8C6422	Sony Mobile Communications AB
8C6878	Nortek-AS
8C6AE4	Viogem Limited
8C6D50	SHENZHEN MTC CO LTD
8C705A	Intel Corporate
8C71F8	Samsung Electronics Co.,Ltd
8C736E	FUJITSU LIMITED
8C76C1	Goden Tech Limited
8C7712	Samsung Electronics Co.,Ltd
8C7716	LONGCHEER TELECOMMUNICATION LIMITED
8C78D7	SHENZHEN FAST TECHNOLOGIES CO.,LTD
8C7967	zte corporation
8C7B9D	Apple, Inc.
8C7C92	Apple, Inc.
8C7CB5	Hon Hai Precision Ind. Co.,Ltd.
8C7CFF	Brocade Communications Systems, Inc.
8C7EB3	Lytro, Inc.
8C7F3B	ARRIS Group, Inc.
8C82A8	Insigma Technology Co.,Ltd
8C8401	Private
8C873B	Leica Camera AG
8C897A	Augtek
8C89A5	Micro-Star INT'L CO., LTD
8C8A6E	ESTUN AUTOMATION TECHNOLOY CO., LTD
8C8ABB	Beijing Orient View Technology Co., Ltd.
8C8B83	Texas Instruments
8C8E76	taskit GmbH
8C8EF2	Apple, Inc.
8C8FE9	Apple, Inc.
8C90D3	Nokia
8C9109	Toyoshima Electric Technoeogy(Suzhou) Co.,Ltd.
8C9236	Aus.Linx Technology Co., Ltd.
8C9351	Jigowatts Inc.
8C94CF	Encell Technology, Inc.
8C99E6	TCT mobile ltd
8CA048	Beijing NeTopChip Technology Co.,LTD
8CA2FD	Starry, Inc.
8CA5A1	Oregano-               # Oregano Systems - Design & Consulting GmbH
8CA6DF	TP-LINK TECHNOLOGIES CO.,LTD.
8CA982	Intel Corporate
8CAB8E	Shanghai Feixun Communication Co.,Ltd.
